neurons,fold,accuracy,precision,recall,f1,confusion_matrix
5,1,0.98,0.9816666666666666,0.98,0.979846547314578,"[[13  0  0  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0 11  0]
 [ 0  0  0  1  8]]"
10,1,0.98,0.9816666666666666,0.98,0.979846547314578,"[[13  0  0  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0 11  0]
 [ 0  0  0  1  8]]"
15,1,0.98,0.9816666666666666,0.98,0.979846547314578,"[[13  0  0  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0 11  0]
 [ 0  0  0  1  8]]"
20,1,0.98,0.9816666666666666,0.98,0.979846547314578,"[[13  0  0  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0 11  0]
 [ 0  0  0  1  8]]"
5,2,1.0,1.0,1.0,1.0,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0  0 12]]"
10,2,1.0,1.0,1.0,1.0,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0  0 12]]"
15,2,1.0,1.0,1.0,1.0,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0  0 12]]"
20,2,1.0,1.0,1.0,1.0,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0  0 12]]"
5,3,0.94,0.9528571428571427,0.94,0.9413056277056276,"[[10  0  0  0  0]
 [ 0 10  0  1  0]
 [ 0  0 10  2  0]
 [ 0  0  0 11  0]
 [ 0  0  0  0  6]]"
10,3,0.94,0.9528571428571427,0.94,0.9413056277056276,"[[10  0  0  0  0]
 [ 0 10  0  1  0]
 [ 0  0 10  2  0]
 [ 0  0  0 11  0]
 [ 0  0  0  0  6]]"
15,3,0.94,0.9528571428571427,0.94,0.9413056277056276,"[[10  0  0  0  0]
 [ 0 10  0  1  0]
 [ 0  0 10  2  0]
 [ 0  0  0 11  0]
 [ 0  0  0  0  6]]"
20,3,0.96,0.9661538461538461,0.96,0.9598484848484847,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 0  0 10  2  0]
 [ 0  0  0 11  0]
 [ 0  0  0  0  6]]"
5,4,0.92,0.9303030303030303,0.92,0.9179526355996944,"[[13  0  0  0  0]
 [ 0  7  0  2  1]
 [ 0  0  7  0  0]
 [ 0  0  0  9  1]
 [ 0  0  0  0 10]]"
10,4,0.92,0.9303030303030303,0.92,0.9179526355996944,"[[13  0  0  0  0]
 [ 0  7  0  2  1]
 [ 0  0  7  0  0]
 [ 0  0  0  9  1]
 [ 0  0  0  0 10]]"
15,4,0.96,0.96,0.96,0.96,"[[13  0  0  0  0]
 [ 0  9  0  1  0]
 [ 0  0  7  0  0]
 [ 0  1  0  9  0]
 [ 0  0  0  0 10]]"
20,4,0.94,0.9466666666666668,0.94,0.9395959595959595,"[[13  0  0  0  0]
 [ 0  8  0  1  1]
 [ 0  0  7  0  0]
 [ 0  0  0  9  1]
 [ 0  0  0  0 10]]"
5,5,1.0,1.0,1.0,1.0,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  0 13]]"
10,5,1.0,1.0,1.0,1.0,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  0 13]]"
15,5,1.0,1.0,1.0,1.0,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  0 13]]"
20,5,1.0,1.0,1.0,1.0,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  0 13]]"
